help,Abi
close,Sulge
log_in,Logi sisse
log_in_info,entu.ee kasutab autentimiseks vaid ülaltoodud teenusepakkujaid. Teie kasutajanime ega parooli meile ei edastata.


menu_add,Lisa
menu_edit,Muuda
menu_relate,Seo teisega
menu_rights,Õigused
menu_share,Jaga meilitsi
menu_login,Sisene
menu_exit,Välju
menu_help,Abiinfo
menu_download,Lae alla

version_history,Viimased muudatused
quota,Kasutus ja limiit
quota_entities,Objekte: %s / %s
quota_files,Faile: %s / %s

search,Otsi
search_button,Otsi
search_advanced,Laiendatud otsing
search_placeholder,Pime kana leiab tera...
search_term_to_short,Otsisõna '%s' on liiga lühike. Proovi 2x pikemat.
search_noresult,Ei leidnud midagi. Proovi uuesti.
search_result,Leiti
search_result_count1,Leiti üks
search_result_count2,Leiti %s

boolean_true,Jah
boolean_false,Ei

add_files_computer,Lisa arvutist
add_files_dropbox,Lisa Dropboxist

entity_delete,Kustuta
confirm_entity_delete,'%s' ja kõik selle alamosad kustutatakse.
confirm_file_delete,Fail '%s' kustutatakse.

counter_generate_value,Genereeri number

download_all_as_zip,Lae alla kõik failid

public,Avalik
public_description,Tee see dokument nähtavaks avalikus vaates

created,Loodud
changed,Muudetud

share_by_email,Saada epostiga
share_to,Kellele (email)
share_message,Sõnum
share_send,Saada

action_add_default,Käsitsi
action_add_ester,Impordi Estrist
action_add_ester_search_placeholder,"Pealkiri, ISBN või URL"
action_add_ester_add,Lisa
action_add_ester_open,Ava

action_add_csv,CSV failist
action_add_csv_file,CSV fail
action_add_csv_delimiter,Väljade eraldaja
action_add_csv_first_row,Alusta reast
action_add_csv_do_import,Impordi %s rida



test,Küsimustik
test_submit,Saada vastused

application,Sisseastumisavaldus
application_signup_info,"Sisseastumisavalduse esitamiseks on sul vaja sisse logida. Kui sul on olemas @artun.ee konto, sisene kindlasti sellega. Kui sul seda ei ole, saad sa luua sisseastuja konto. Konto parool saadetakse sulle meilitsi. Kui oled parooli unustanud, siis kasuta uue konto loomise vormi ja sulle saadetakse uus parool."

application_signup_email_head,Mul pole kontot ega parooli. Soovin luua konto...
application_signup_email,E-post
application_signup_email_submit,Saada kutse meilile
application_signup_email_error,Sisestage e-posti aadress!
application_signup_email_success,Kutse saadeti sulle meilile!
application_signup_email_subject,Sisseastuja konto
application_signup_email_message,"Tere tulemast Eesti Kunstiakadeemiasse!

Meil on hea meel, et oled otsustanud asuda õppima meie akadeemiasse.

Sinu konto Eesti Kunstiakadeemia sisseastumisavalduse esitamiseks on loodud.
Konto parool on: %s

Sisseastumisavalduse saad täita aadressil http://entu.artun.ee/application

Täname!"


application_signup_password_head,Mul on sisseastuja parool. Sisenen sellega...
application_signup_password,Parool
application_signup_password_submit,Sisene
application_signup_password_error,Vale parool!

application_signup_account_head,Mul on @artun.ee konto. Sisenen sellega...

application_subscribe,Kandideerin
application_subscribe_max_reached,Lubatud on valida maksimaalselt neli eriala!
application_submit,Esita avaldus
